ID,Date,Name,Type,Description
basic-new-years-2025,2025-01-01,New Year's Day,essential,Essential Holiday - New Year's Day
basic-memorial-2025,2025-05-26,Memorial Day,essential,Essential Holiday - Memorial Day
basic-independence-2025,2025-07-04,Independence Day,essential,Essential Holiday - Independence Day
basic-labor-2025,2025-09-01,Labor Day,essential,Essential Holiday - Labor Day
basic-thanksgiving-2025,2025-11-27,Thanksgiving Day,essential,Essential Holiday - Thanksgiving Day
basic-christmas-2025,2025-12-25,Christmas Day,essential,Essential Holiday - Christmas Day
